T,EMS-obj-nr,DocIn,DocnrIn,Status,InEntrepot,OutEntrepot,InAV,OutAV,Weight,CN-code,CIF-value,SALE-value,ExEMS,PIO,customs,DocOut,DocnrOut,,
F,3071578X33,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,187,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,110
F,3071578X34,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,187,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,110
F,3071578X35,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,255,7226110091C04100000000,1802.5,2190,20/11/15,283234,ENTREPOT,,,F1,150
F,3071578X36,,,800,12/11/2015,12/11/2015,12/11/2015,12/11/2015,290,7226110091C04100000000,1802.5,2190,17/11/15,283234,EXIT,EUA,15NL1D3A9724AC8123,F1,170
F,3071578X38,,,800,12/11/2015,12/11/2015,27/11/15,12/11/2015,93,7226110091C04100000000,1802.5,2190,8/12/2015,284303,EU,,,F1,70
S,3071628X02,,,900,6/10/2015,,6/11/2015,,2159,7225110010C04100000000,1682,0,,283221,NEU,,,T1,820
X,3071628X02SCRAP,,,200,6/11/2015,,6/11/2015,6/11/2015,9,7.20429E+21,1682,0,,283221,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071628X09,,,800,6/10/2015,,6/11/2015,,1090,7225110010C04100000000,1682,2015,16/11/15,283221,EXIT,,,T2,820
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071628X10,,,800,6/10/2015,,6/11/2015,,1060,7225110010C04100000000,1682,2015,16/11/15,283221,EXIT,,,T2,820
S,3071638X09,,,900,5/10/2015,,20/11/15,,720,7226110091C04100000000,1682,0,,283751,NEU,,,T1,430
X,3071638X09SCRAP,,,200,20/11/15,,20/11/15,20/11/15,60,7.20429E+21,1682,0,,283751,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X11,,,800,5/10/2015,,20/11/15,,112,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,70
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X12,,,800,5/10/2015,,20/11/15,,274,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,170
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3071638X13,,,800,5/10/2015,,20/11/15,,274,7226110091C04100000000,1682,2015,2/12/2015,283751,EXIT,,,T2,170
S,3074254X01,,,900,11/11/2015,16/11/15,16/11/15,16/11/15,213,7226110091C04100000000,1682,0,,283925,USED,,,T1,110
X,3074254X01SCRAP,,,200,16/11/15,,16/11/15,16/11/15,42,7.20429E+21,1682,0,,283925,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074254X07,,,800,16/11/15,,16/11/15,16/11/15,171,7226110091C04100000000,1682,2015,20/11/15,283925,EXIT,,,T2,90
S,3074256X02,,,900,10/11/2015,10/11/2015,10/11/2015,10/11/2015,1359,7226110011C04100000000,1682,0,,283528,USED,,,T1,540
X,3074256X02SCRAP,,,200,10/11/2015,,10/11/2015,10/11/2015,9,7.20429E+21,1682,0,,283528,ENTREPOT,,,T3,0
S,3074256X05,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1217,7226110011C04100000000,1682,0,,283743,USED,,,T1,540
X,3074256X05SCRAP,,,200,20/11/15,,20/11/15,20/11/15,47,7.20429E+21,1682,0,,283743,ENTREPOT,,,T3,0
F,3074256X07,,,800,10/11/2015,17/11/15,10/11/2015,10/11/2015,1350,7226110011C04100000000,1682,2467,17/11/15,283528,EXIT,EUA,15NL1D390F20A6FB03,T2,540
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X08,,,800,20/11/15,,20/11/15,20/11/15,135,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,60
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X09,,,800,20/11/15,,20/11/15,20/11/15,405,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X10,,,800,20/11/15,,20/11/15,20/11/15,495,7226110091C04100000000,1682,2015,2/12/2015,283743,EXIT,,,T2,220
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074256X11,,,800,20/11/15,,20/11/15,20/11/15,135,7226110091C04100000000,1682,2015,4/12/2015,283743,EXIT,,,T2,60
S,3074257X06,,,900,11/11/2015,12/11/2015,12/11/2015,12/11/2015,343,7226110091C04100000000,1682,0,,282978,USED,,,T1,180
X,3074257X06SCRAP,,,200,12/11/2015,,12/11/2015,12/11/2015,-3,7.20429E+21,1682,0,,282978,ENTREPOT,,,T3,0
S,3074257X13,,,900,11/11/2015,12/11/2015,12/11/2015,12/11/2015,477,7226110091C04100000000,1682,0,,282979,USED,,,T1,250
X,3074257X13SCRAP,,,200,12/11/2015,,12/11/2015,12/11/2015,9,7.20429E+21,1682,0,,282979,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X14,,,800,12/11/2015,,12/11/2015,12/11/2015,163,7226110091C04100000000,1682,2015,16/11/15,282978,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X15,,,800,12/11/2015,,12/11/2015,12/11/2015,183,7226110091C04100000000,1682,2015,4/12/2015,282978,EXIT,,,T2,180
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074257X16,,,800,12/11/2015,,12/11/2015,12/11/2015,238,7226110091C04100000000,1682,2015,16/11/15,282979,EXIT,,,T2,250
S,3074257X17,,,500,12/11/2015,,12/11/2015,12/11/2015,230,7226110091C04100000000,1682,0,,282979,EU,,,T2,250
S,3074267X03,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1364,7226110011C04100000000,1682,0,,283555,USED,,,T1,580
X,3074267X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,99,7.20429E+21,1682,0,,283555,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X10,,,800,20/11/15,,20/11/15,20/11/15,206,7226110091C04100000000,1682,2015,26/11/15,283555,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X11,,,800,20/11/15,,20/11/15,20/11/15,299,7226110091C04100000000,1682,2520,3/12/2015,283555,EXIT,,,T2,130
F,3074267X12,,,800,20/11/15,26/11/15,20/11/15,20/11/15,368,7226110091C04100000000,1682,2790,26/11/15,283555,EXIT,EUA,15NL1E0E972BE655E0,T2,160
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074267X13,,,800,20/11/15,,20/11/15,20/11/15,392,7226110091C04100000000,1682,2015,26/11/15,283555,EXIT,,,T2,170
S,3074269X11,,,900,5/11/2015,20/11/15,20/11/15,20/11/15,211,7226110091C04100000000,1682,0,,283418,USED,,,T1,120
X,3074269X11SCRAP,,,200,20/11/15,,20/11/15,20/11/15,21,7.20429E+21,1682,0,,283418,ENTREPOT,,,T3,0
S,3074269X17,,,900,5/11/2015,20/11/15,20/11/15,20/11/15,368,7226110091C04100000000,1682,0,,283408,USED,,,T1,120
X,3074269X17SCRAP,,,200,20/11/15,,20/11/15,20/11/15,95,7.20429E+21,1682,0,,283408,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074269X25,,,800,20/11/15,,20/11/15,20/11/15,273,7226110091C04100000000,1682,2015,25/11/15,283408,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074269X26,,,800,20/11/15,,20/11/15,20/11/15,190,7226110091C04100000000,1682,2015,26/11/15,283418,EXIT,,,T2,110
S,3074271X03,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,345,7226110091C04100000000,1682,0,,283406,USED,,,T1,100
X,3074271X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,34,7.20429E+21,1682,0,,283406,ENTREPOT,,,T3,0
S,3074271X08,,,900,9/11/2015,20/11/15,20/11/15,20/11/15,346,7226110091C04100000000,1682,0,,283407,USED,,,T1,100
X,3074271X08SCRAP,,,200,20/11/15,,20/11/15,20/11/15,37,7.20429E+21,1682,0,,283407,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074271X11,,,800,20/11/15,,20/11/15,20/11/15,311,7226110091C04100000000,1682,2015,25/11/15,283406,EXIT,,,T2,90
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074271X12,,,800,20/11/15,,20/11/15,20/11/15,309,7226110091C04100000000,1682,2015,25/11/15,283407,EXIT,,,T2,90
S,3074274X08,,,900,4/11/2015,16/11/15,16/11/15,16/11/15,448,7226110091C04100000000,1682,0,,283061,USED,,,T1,190
X,3074274X08SCRAP,,,200,16/11/15,,16/11/15,16/11/15,33,7.20429E+21,1682,0,,283061,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074274X17,,,800,16/11/15,,16/11/15,16/11/15,415,7226110091C04100000000,1682,2015,24/11/15,283061,EXIT,,,T2,180
S,3074275X11,,,900,5/11/2015,11/11/2015,11/11/2015,11/11/2015,1613,7225110010C04100000000,1682,0,,283115,USED,,,T1,820
X,3074275X11SCRAP,,,200,11/11/2015,,11/11/2015,11/11/2015,43,7.20429E+21,1682,0,,283115,ENTREPOT,,,T3,0
S,3074275X16,,,900,11/11/2015,,11/11/2015,11/11/2015,431,7226110091C04100000000,1682,0,,283115,USED,,,T2,220
F,3074275X17,,,800,11/11/2015,16/11/15,11/11/2015,11/11/2015,1139,7226110011C04100000000,1682,2467,16/11/15,283115,EXIT,EUA,15NL1D2785270F28D8,T2,580
S,3074278X03,,,900,11/11/2015,20/11/15,20/11/15,20/11/15,1043,7226110011C04100000000,1682,0,,283745,USED,,,T1,520
X,3074278X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,43,7.20429E+21,1682,0,,283745,ENTREPOT,,,T3,0
S,3074278X04,,,900,11/11/2015,20/11/15,20/11/15,20/11/15,942,7226110091C04100000000,1682,0,,283747,USED,,,T1,470
X,3074278X04SCRAP,,,200,20/11/15,,20/11/15,20/11/15,27,7.20429E+21,1682,0,,283747,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X18,,,800,20/11/15,,20/11/15,20/11/15,280,7226110091C04100000000,1682,2520,4/12/2015,283745,EXIT,,,T2,140
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X19,,,800,20/11/15,,20/11/15,20/11/15,340,7226110091C04100000000,1682,2015,2/12/2015,283745,EXIT,,,T2,170
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X20,,,800,20/11/15,,20/11/15,20/11/15,380,7226110091C04100000000,1682,2015,2/12/2015,283745,EXIT,,,T2,190
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X21,,,800,20/11/15,,20/11/15,20/11/15,183,7226110091C04100000000,1682,2015,2/12/2015,283747,EXIT,,,T2,110
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X22,,,800,20/11/15,,20/11/15,20/11/15,233,7226110091C04100000000,1682,2520,4/12/2015,283747,EXIT,,,T2,140
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
F,3074278X23,,,800,20/11/15,,20/11/15,20/11/15,334,7226110091C04100000000,1682,2015,2/12/2015,283747,EXIT,,,T2,200
F,3074278X24,,,400,20/11/15,,20/11/15,20/11/15,165,7226110091C04100000000,1682,800,,283747,EU,,,T2,470
S,3074279X03,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1016,7226110011C04100000000,1682,0,,283556,USED,,,T1,580
X,3074279X03SCRAP,,,200,20/11/15,,20/11/15,20/11/15,61,7.20429E+21,1682,0,,283556,ENTREPOT,,,T3,0
S,3074279X07,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1161,7226110011C04100000000,1682,0,,283557,USED,,,T1,580
X,3074279X07SCRAP,,,200,20/11/15,,20/11/15,20/11/15,61,7.20429E+21,1682,0,,283557,ENTREPOT,,,T3,0
S,3074279X11,,,900,10/11/2015,20/11/15,20/11/15,20/11/15,1416,7226110011C04100000000,1682,0,,283558,USED,,,T1,580
X,3074279X11SCRAP,,,200,20/11/15,,20/11/15,20/11/15,76,7.20429E+21,1682,0,,283558,ENTREPOT,,,T3,0
** No Customs-document record is available. (91),,,,,,,,,,,,,,,,,,,
